Time (s),Voltage (V),Current (A),RPM,Fault
0,11.9670657996375,1.492456758552282,1512.3483451612701,0
1,11.755598204048443,1.5001938314913827,1491.8459664138918,0
2,12.225705463023443,1.4819274329849326,1501.907902520035,0
3,12.20345131637911,1.5527295722008796,1516.6915976776959,0
4,12.047233929304287,1.4394870468726344,1487.700420652636,0
5,11.806169266263849,1.5919194585289915,1509.7723413480774,0
6,12.079775188439566,1.4940470640021233,1493.9337392805269,0
7,11.695338655501988,1.4242450812545953,1528.949695340168,0
8,12.172334330223967,1.4569215234752357,1495.0242828723378,0
9,11.910249179984426,1.4572024030375468,1487.8146172643328,0
10,11.953567653299535,1.5478237534318133,1487.7476961397683,0
11,12.139697415415423,1.505455172614745,1521.9642343303876,0
12,12.126241312855608,1.4494679336995684,1504.0212349594622,0
13,11.920987667314153,1.605306368974797,1494.4098411089956,0
14,11.759502122179967,1.3722203955451198,1500.6541537361443,0
15,12.19483753573161,1.5255032370454398,1475.7787928079026,0
16,12.037645194459165,1.5436949239528257,1468.030620157705,0
17,12.222468405875539,1.4797639469215293,1517.8558508952078,0
18,11.74925578439112,1.5038386120983578,1466.7535445261906,0
19,12.116119469929698,1.464335505994976,1498.858607166005,0
20,11.78205798001257,1.4953967760678335,1496.996429211336,0
21,12.0962650621046,1.4983482460296074,1485.5367211495645,0
22,12.142663115941273,1.561181011891702,1456.1446989803653,0
23,11.88929874365284,1.4736691424538546,1537.6178288266128,0
24,12.14614767628162,1.4961563790260017,1460.2425529802929,0
25,12.047296266402768,1.4826905821395817,1498.9495664504605,0
26,11.79064891549178,1.5597511409793259,1460.7925892175047,0
27,11.78902335846799,1.5653952779163713,1478.751017476476,0
28,11.849766015126988,1.4896167832587937,1458.0973042070443,0
29,12.007538400407668,1.540343990094843,1485.152682610109,0
30,11.9643631177319,1.4843785434880097,1496.5371455884067,0
31,11.985535668956908,1.4447391833839456,1482.9552390113722,0
32,11.99959286656974,1.5370407231552163,1510.415955673961,0
33,11.690327156288607,1.584565254669474,1520.72205267539,0
34,12.192627447895156,1.468744523953486,1497.365883249286,0
35,12.173301049276253,1.4751971276772542,1446.075230821226,0
36,12.096737851017272,1.5422590918114671,1489.1944153656295,0
37,12.132442476395477,1.5832291697894738,1514.554101242002,0
38,12.206590819900867,1.518710025258388,1499.1177808102225,0
39,12.09451837737902,1.5126381543981076,1488.2307548800306,0
40,11.78194086649855,1.527882635967224,1548.9005987192102,0
41,12.218833505792254,1.5547652246065433,1492.9844469828192,0
42,12.137938680162941,1.5679919603111614,1501.2044720771607,0
43,11.798730268777248,1.5126778288584797,1503.3283382697948,0
44,12.231496060790388,1.440885959219503,1505.6993157389475,0
45,11.76495212681892,1.571542305376492,1486.7800181017888,0
46,12.133013615035633,1.5023805916797115,1504.0608854904353,0
47,12.072444347387197,1.5509071478403142,1503.0935503609535,0
48,11.942631027841616,1.5778784207315792,1486.5503666059767,0
49,12.603025235809378,1.4296626152691525,1493.1340772285027,0
50,12.173010747846456,1.4845838585025242,1493.3400240629344,0
51,12.303181727179561,1.4947856380389526,1518.4018567121334,0
52,11.81871997769539,1.5256687546009964,1515.1306822367362,0
53,12.031329308778705,1.5443551623098053,1529.5407806364105,0
54,12.119335925809425,1.51347557017126,1496.4305635692476,0
55,12.106062871697748,1.62334791057112,1491.745655921917,0
56,11.93872661438054,1.5147105674492607,1489.2510837135333,0
57,12.123972542415169,1.562531752695232,1467.6059729124938,0
58,12.235155404508003,1.4901005766529767,1479.7695715241214,0
59,12.100128947834676,1.552192832034546,1482.2493344729567,0
60,12.334627490418866,1.5458527449696893,1498.283715870024,0
61,12.171015879102368,1.4959208481434618,1498.8394442879387,0
62,12.00651144728267,1.581910741347783,1470.1301306478604,0
63,12.058470831588615,1.47657304941906,1504.126973082476,0
64,12.021786478749684,1.540613711814769,1511.2503491870802,0
65,12.145316081937848,1.5486503995527194,1462.1024457234682,0
66,11.542064786648659,1.5162847723098007,1524.3468381444727,0
67,12.279875381195575,1.5204739008349892,1480.6265778679515,0
68,11.953629713316648,1.4803021584975016,1463.7726256004923,0
69,12.07100685338831,1.5416588036388739,1511.6932235191543,0
70,12.194802143649214,1.5297912648706093,1454.1972594733402,0
71,11.954636024234565,1.5995331567796602,1473.223406511461,0
72,12.011517543060384,1.6176506268965432,1484.54753039789,0
73,11.89486421652448,1.545083812907214,1491.4223502515686,0
